Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Barbie,-,-,-,"$33,554,745",424,"$35,574,798",Jul 21,Warner Bros.,false
2,Avatar: The Way of Water,-,-,-,"$25,885,456",416,"$54,533,887",Dec 16,Walt Disney Studios Motion Pictures,false
3,The Super Mario Bros. Movie,-,-,-,"$25,876,665",395,"$29,902,648",Apr 5,Universal Pictures International (UPI),false
4,Oppenheimer,-,-,-,"$21,900,845",397,"$22,646,774",Jul 21,Universal Pictures International (UPI),false
5,Elemental,-,-,-,"$14,230,915",325,"$14,230,915",Jul 14,Walt Disney Studios Motion Pictures,false
6,Fast X,-,-,-,"$13,859,069",377,"$13,859,069",May 19,Universal Pictures International (UPI),false
7,The Little Mermaid,-,-,-,"$12,784,750",363,"$12,784,750",May 26,Walt Disney Studios Motion Pictures,false
8,Meg 2: The Trench,-,-,-,"$12,673,104",369,"$12,673,104",Aug 4,Warner Bros.,false
9,Championext,-,-,-,"$12,623,685",423,"$12,623,685",Aug 18,Universal Pictures International (UPI),false
10,Indiana Jones and the Dial of Destiny,-,-,-,"$11,875,755",407,"$13,009,168",Jun 30,Walt Disney Studios Motion Pictures,false
11,Guardians of the Galaxy Vol. 3,-,-,-,"$11,826,005",365,"$12,364,672",May 5,Walt Disney Studios Motion Pictures,false
12,Spider-Man: Across the Spider-Verse,-,-,-,"$9,036,917",372,"$9,036,917",Jun 2,Sony Pictures Entertainment (SPE),false
13,Puss in Boots: The Last Wish,-,-,-,"$8,428,693",380,"$11,776,830",Dec 21,Universal Pictures International (UPI),false
14,Vacaciones de verano,-,-,-,"$7,676,254",435,"$7,925,396",Jul 7,Sony Pictures Entertainment (SPE),false
15,The Nun II,-,-,-,"$7,145,722",340,"$7,158,175",Sep 8,Warner Bros.,false
16,Mummies,-,-,-,"$6,343,112",399,"$6,343,112",Feb 24,Warner Bros.,false
17,Ant-Man and the Wasp: Quantumania,-,-,-,"$5,762,900",351,"$5,762,900",Feb 17,Walt Disney Studios Motion Pictures,false
18,Creed III,-,-,-,"$5,566,039",348,"$5,566,039",Mar 3,Warner Bros.,false
19,¡Vaya vacaciones!,-,-,-,"$5,176,254",349,"$5,176,254",Apr 21,Universal Pictures International (UPI),false
20,The Equalizer 3,-,-,-,"$5,102,489",359,"$5,102,489",Sep 1,Sony Pictures Entertainment (SPE),false
21,A Haunting in Venice,-,-,-,"$5,026,162",350,"$5,026,162",Sep 15,Walt Disney Pictures,false
22,Killers of the Flower Moon,-,-,-,"$4,818,794",386,"$4,818,794",Oct 20,Paramount Pictures International,false
23,John Wick: Chapter 4,-,-,-,"$4,692,007",550,"$4,704,335",Mar 24,Sun Distribution,false
24,Insidious: The Red Door,-,-,-,"$4,514,691",303,"$4,764,794",Jul 21,Sony Pictures Releasing,false
25,Mari(dos),-,-,-,"$4,483,495",338,"$4,483,495",Mar 10,Walt Disney Studios Motion Pictures,false
26,Gran Turismo,-,-,-,"$4,179,049",353,"$4,179,049",Aug 11,Sony Pictures Entertainment (SPE),false
27,Evil Dead Rise,-,-,-,"$4,087,420",313,"$4,087,420",Apr 21,Warner Bros.,false
28,The Exorcist: Believer,-,-,-,"$3,992,932",330,"$3,992,932",Oct 6,Universal Pictures International (UPI),false
29,Five Nights at Freddy's,-,-,-,"$3,925,905",322,"$6,388,306",Nov 3,Universal Pictures International (UPI),false
30,Trolls Band Together,-,-,-,"$3,825,479",361,"$3,867,233",Oct 27,Universal Pictures International (UPI),false
31,The Flash,-,-,-,"$3,686,381",365,"$3,686,381",Jun 16,Warner Bros.,false
32,Dungeons & Dragons: Honor Among Thieves,-,-,-,"$3,607,808",359,"$3,685,302",Mar 31,Paramount Pictures International,false
33,The Beasts,-,-,-,"$3,558,223",303,"$7,376,891",Nov 11,A Contracorriente Films,false
34,M3GAN,-,-,-,"$3,505,036",313,"$3,844,268",Jan 4,Universal Pictures International (UPI),false
35,Transformers: Rise of the Beasts,-,-,-,"$3,374,207",331,"$3,374,207",Jun 9,Paramount Pictures,false
36,The Creator,-,-,-,"$3,247,091",336,"$3,247,091",Sep 29,Walt Disney Studios Motion Pictures,false
37,PAW Patrol: The Mighty Movie,-,-,-,"$3,215,512",380,"$3,917,916",Oct 11,Paramount Pictures International,false
38,The Pope's Exorcist,-,-,-,"$2,932,842",325,"$3,419,211",Apr 7,Sony Pictures Releasing,false
39,Saw X,-,-,-,"$2,711,052",278,"$2,711,052",Sep 29,DeAPlaneta,false
