Rank_World,Rank_Spain,Title,Gross_Spain,Total Gross,Release Date,Distributor,Gross_World,Domestic,%,Foreign,%.1,Ratio
124,9,Championext,12623685,"$12,623,685",Aug 18,Universal Pictures International (UPI),12623685,-,-,"$12,623,685",100%,1.0
150,14,Vacaciones de verano,7676254,"$7,925,396",Jul 7,Sony Pictures Entertainment (SPE),8206369,-,-,"$8,206,369",100%,0.9354020030052268
135,65,After Everything,1289204,"$1,289,204",Sep 15,Sun Distribution,10629210,-,-,"$10,629,210",100%,0.12128878816017372
55,16,Mummies,6343112,"$6,343,112",Feb 24,Warner Bros.,54375970,"$4,275,970",7.9%,"$50,100,000",92.1%,0.11665285235371434
154,90,Cobweb,646418,"$646,708",Aug 25,Vértice 360,8052474,-,-,"$8,052,474",100%,0.0802757016042523
175,104,A Brighter Tomorrow,438119,"$439,356",Sep 15,-,6594693,-,-,"$6,594,693",100%,0.06643508651577867
181,115,Marlowe,348754,"$348,754",May 12,Sun Distribution,6276005,"$4,350,243",69.3%,"$1,925,762",30.7%,0.055569426729264876
170,120,Beautiful Disaster,329051,"$331,841",Apr 14,Sun Distribution,6850036,-,-,"$6,850,036",100%,0.048036389881746605
61,47,Ruby Gillman: Teenage Kraken,2168127,"$2,168,633",Jun 30,Universal Pictures International (UPI),45465142,"$15,753,600",34.6%,"$29,711,542",65.4%,0.04768767685802015
110,87,Hypnotic,734602,"$734,602",Oct 27,Sun Distribution,15460906,"$4,500,169",29.1%,"$10,960,737",70.9%,0.04751351570211992
35,21,A Haunting in Venice,5026162,"$5,026,162",Sep 15,Walt Disney Pictures,121541648,"$42,471,412",34.9%,"$79,070,236",65.1%,0.041353413276081295
47,38,The Pope's Exorcist,2932842,"$3,419,211",Apr 7,Sony Pictures Releasing,76987621,"$20,009,380",26%,"$56,978,241",74%,0.038094981529563046
142,117,Kandahar,342344,"$342,365",Jun 16,DeAPlaneta,9334440,"$4,813,132",51.6%,"$4,521,308",48.4%,0.03667536563521754
115,96,Epic Tails,505979,"$505,979",May 12,Notorious Pictures,14254149,-,-,"$14,254,149",100%,0.035496963024590246
