Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,441,740,954","$636,140,954",44.1%,"$805,600,000",55.9%
2,The Super Mario Bros. Movie,"$1,361,990,276","$574,934,330",42.2%,"$787,055,946",57.8%
3,Oppenheimer,"$949,070,540","$325,320,540",34.3%,"$623,750,000",65.7%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319",55.2%,"$309,205,354",44.8%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$495,707,546","$154,426,697",31.2%,"$341,280,849",68.8%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
11,John Wick: Chapter 4,"$440,146,694","$187,131,806",42.5%,"$253,014,888",57.5%
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
13,Meg 2: The Trench,"$395,000,317","$82,600,317",20.9%,"$312,400,000",79.1%
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
15,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
16,Five Nights at Freddy's,"$271,840,720","$132,611,720",48.8%,"$139,229,000",51.2%
17,The Flash,"$270,633,313","$108,133,313",40%,"$162,500,000",60%
18,The Nun II,"$268,067,073","$86,267,073",32.2%,"$181,800,000",67.8%
19,Sound of Freedom,"$244,690,364","$184,173,171",75.3%,"$60,517,193",24.7%
20,Taylor Swift: The Eras Tour,"$244,231,447","$175,313,432",71.8%,"$68,918,015",28.2%
21,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
22,PAW Patrol: The Mighty Movie,"$192,397,305","$65,097,305",33.8%,"$127,300,000",66.2%
23,The Equalizer 3,"$189,987,507","$92,342,935",48.6%,"$97,644,572",51.4%
24,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
25,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%
26,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
27,The Marvels,"$161,324,806","$65,024,806",40.3%,"$96,300,000",59.7%
28,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
